Scenario,Barangay_ID,Barangay_Name,Hazard_Level,FA_Allocated,FA_Ideal,EFA_Allocated,EFA_Ideal,FA_Solution_Quality,EFA_Solution_Quality,Percentage_Change
2,SOUTH_TRIANGLE,Brgy. South Triangle,Low,155,8,256,8,18.38,31.0,68.66
2,STA_CRUZ,Brgy. Sta. Cruz,Low,38,2,26,2,18.0,12.0,-33.33
2,STA_LUCIA,Brgy. Sta. Lucia,Low,278,15,301,15,17.53,19.07,8.78
2,STA_MONICA,Brgy. Sta. Monica,Medium,493,52,372,52,8.48,6.15,-27.48
2,STA_TERESITA,Brgy. Sta. Teresita,None,0,0,0,0,1.0,1.0,0.0
2,STO_CRISTO,Brgy. Sto. Cristo,Medium,443,26,91,26,16.04,2.5,-84.41
2,STO_DOMINGO,Brgy. Sto. Domingo,Medium,260,12,95,12,20.67,6.92,-66.52
2,STO_NINO,Brgy. Sto. Nino,Medium,161,8,179,8,19.13,21.38,11.76
2,TAGUMPAY,Brgy. Tagumpay,Low,131,2,114,2,64.5,56.0,-13.18
2,TALAYAN,Brgy. Talayan,Medium,109,5,65,5,20.8,12.0,-42.31
2,TALIPAPA,Brgy. Talipapa,Medium,104,39,165,39,1.67,3.23,93.41
2,TANDANG_SORA,Brgy. Tandang Sora,Medium,73,84,411,84,-0.13,3.89,-3092.33
2,TATALON,Brgy. Tatalon,Low,450,28,527,28,15.07,17.82,18.25
2,TEACHERS_VILLAGE_EAST,Brgy. Teachers Village East,Low,233,2,102,2,115.5,50.0,-56.71
2,TEACHERS_VILLAGE_WEST,Brgy. Teachers Village West,Low,196,2,67,2,97.0,32.5,-66.49
2,UGONG_NORTE,Brgy. Ugong Norte,Low,238,4,254,4,58.5,62.5,6.84
2,UNANG_SIGAW,Brgy. Unang Sigaw,Medium,169,7,97,7,23.14,12.86,-44.43
2,UP_CAMPUS,Brgy. UP Campus,Medium,326,48,159,48,5.79,2.31,-60.1
2,UP_VILLAGE,Brgy. UP Village,Medium,225,4,114,4,55.25,27.5,-50.23
